,0
EvrPltry_1,0.0
PltrySkn_0,-0.006951401826708084
PltrySkn_1,-0.005915404619863595
PltrySkn_2,-0.014775557737508764
PltrySkn_3,0.1920517575602558
EvrMeat_1,-0.04715737236855295
MeatFat_0,0.0
MeatFat_1,-0.002712780437934806
MeatFat_2,-0.1441473187883664
EvrBrgr_1,0.0
Brgr1_0,-0.0860974491010382
Brgr1_1,0.0
Brgr2_0,-0.25411405017669836
Brgr2_1,0.0
Brgr3_0,-0.016633575937248155
Brgr3_1,0.0
Brgr4_0,0.0
BrgrDK_0,0.16381120622803017
EvrMilkC_1,-0.4968186219673796
MilkCer1_0,0.0
MilkCer2_0,0.1880882997179162
MilkCer3_0,0.0
MilkCer3_1,0.0
MilkCer4_0,-0.22404951060125647
MilkCer4_1,0.0
MilkCer5_0,0.0
MilkCer5_1,0.0555497468346776
MilkCer6_0,0.0
MilkCer7_0,0.051140126780097446
MilkCer8_0,0.2289260559243814
MilkCDK_0,0.0
EvrMilkD_1,0.0
MlkDrnk1_0,0.0
MlkDrnk2_0,0.09923237098638694
MlkDrnk2_1,0.0
MlkDrnk3_0,0.0
MlkDrnk3_1,0.0
MlkDrnk4_0,0.0
MlkDrnk4_1,0.0
MlkDrnk5_0,0.0
MlkDrnk6_0,-0.2252403426499473
MlkDDK_0,0.0
EvrColdC_1,0.0
ColdCer1_0,0.0
ColdCer2_0,0.048152269138038536
ColdCer2_1,0.0
ColdCer3_0,0.32917902292575585
ColdCer4_0,0.17481181039428206
ColdCer4_1,0.0
CookFat1_0,0.010693313951616485
CookFat1_1,0.0
CookFat2_0,0.0
CookFat2_1,0.0
CookFat3_0,-0.10498235817476669
CookFat4_0,0.3731750987047921
CookFat5_0,0.0
CookFat5_1,0.24247289263275076
CookFat6_0,0.29259084846188355
CookFat6_1,0.0
CookFat7_0,0.0
CookFat7_1,0.010485873479190418
CookFat8_0,0.21552405475715847
CookFatN_0,0.0867755075661397
CookFatN_1,0.0
TblFat1_0,0.0
TblFat1_1,0.16069113287009631
TblFat2_0,0.0
TblFat2_1,0.12262021480285987
TblFat3_0,0.0
TblFat3_1,0.15229062143814293
TblFat4_0,0.0
TblFat4_1,0.3324357694512945
TblFat5_0,-0.2234743606892119
TblFat6_0,-0.15635785779148687
TblFatNo_1,0.0
Dress1_0,0.0
Dress1_1,0.06235631934002739
Dress2_0,0.0
Dress2_1,0.1798422602984872
Dress3_0,0.0
DressNo_1,0.0
Mayo1_0,0.11144367663737471
Mayo1_1,0.0
Mayo2_0,0.0
Mayo2_1,0.02176129054280713
Mayo3_0,-0.3754986232375264
MayoNo_0,0.0
MayoNo_1,0.019130624922041317
Cookies_1,-0.005424628925403108
LFCookie_1,0.04280826223894634
LFCookie_2,-0.00385726018423345
FJAny_1,0.0
FJVitC_0,0.13947289115330738
FJVitC_1,-0.1250669129422509
FJVitE_0,0.0
FJCalc_0,-0.008526400622906573
FJCalc_1,0.2681990439234011
FJNone_0,-0.2289294358241551
FJDK_0,0.15776817684605812
FJDK_77,-0.010890299434431896
NumEat_2,-0.16247557296439802
NumEat_3,-0.04658622737820421
NumEat_4,0.21518653652951267
