,0
Adopted_0,0.0
QRel_1,0.0
MthAliv_0,0.2853136193273784
MthAliv_1,1.0367224981578018
MthAge_4,0.04026592166874468
MthAge_5,-0.049170699310996366
FthAliv_0,0.0997218072926304
FthAliv_1,0.5101849165659037
FthAge_3,0.0
FthAge_4,0.0
FthAge_5,0.07241818864904169
Bro1Aliv_0,-0.3960026635031749
Bro1Aliv_1,0.0
Bro1Aliv_99,0.033190565004103875
Bro1Age_1,0.4422602558133405
Bro1Age_2,0.2699165004441269
Bro1Age_3,0.2352344923776585
Bro1Age_99,0.24767452448841956
Sis1Aliv_1,0.13298300017998002
Sis1Aliv_99,0.23656095981362013
Sis1Age_2,0.05439116307471594
Sis1Age_3,0.3129728240648078
Sis1Age_99,0.07896416029458811
BrstAny_0,0.0
BrstAny_1,0.0
BrstMth_0,-0.3314872283237794
Brst1Sis_0,0.0
Brst2Sis_0,0.0
OvarAny_0,0.0
OvarMth_0,-0.6075390217947144
Ovar1Sis_0,0.5139365143784028
Ovar2Sis_0,0.0
UterAny_0,0.0
UterMth_0,0.0
Uter1Sis_0,0.0
Uter2Sis_0,0.0
LungAny_0,0.0
LungMth_0,-0.24204376992681295
LungFth_0,-0.29744366859040516
LungSis_0,0.19142203081197845
LungBro_0,0.2730556528939353
ColAny_0,0.0
ColMth_0,0.03786713765038249
ColFth_0,-0.09987174889353673
ColSis_0,0.0
ColBro_0,0.5042224597888213
BladAny_0,0.0
BladMth_0,0.0
BladFth_0,0.0
BladSis_0,0.0
BladBro_0,0.0
ProsAny_0,0.0
ProsFth_0,-0.36439765139846547
ProsBro_0,-0.19624612836005467
PancAny_0,0.0
PancMth_0,0.0
PancFth_0,0.0
PancSis_0,0.0
PancBro_0,0.0
MelAny_0,0.0
MelMth_0,0.0
MelFth_0,-0.00979653569017755
MelSis_0,0.01588918532686913
MelBro_0,0.0
LeukAny_0,0.27660632295281956
LeukMth_0,0.0
LeukFth_0,0.0
LeukSis_0,0.11820382145138811
LeukBro_0,0.0
SarcAny_0,0.09864524496637067
SarcMth_0,0.0
SarcFth_0,0.0
SarcSis_0,0.0
SarcBro_0,0.0
OCx1Any_0,0.0
OCx1Any_88,0.0
OCx1Mth_0,0.0
OCx1Fth_0,-0.0948768344229744
OCx1Sis_0,0.40807233362617223
OCx1Bro_0,0.0
OCx2Any_0,0.0
OCx2Mth_0,-0.5945877237379911
OCx2Fth_0,0.0
OCx2Sis_0,0.0
OCx2Bro_0,0.0
BrstAnyC_0,0.0
Brst1Dau_0,0.0
Brst2Dau_0,0.0
OvarAnyC_0,0.0
Ovar1Dau_0,0.0
Ovar2Dau_0,0.0
UterAnyC_0,0.0
Uter1Dau_0,0.0
Uter2Dau_0,0.0
LungAnyC_0,0.0
LungSon_0,0.0
LungDau_0,0.0
ColAnyC_0,0.0
ColSon_0,0.0
ColDau_0,0.0
BladAnyC_0,0.0
BladSon_0,0.0
BladDau_0,0.0
ProsAnyC_0,0.0
ProsSon_0,0.0
PancAnyC_0,0.0
PancSon_0,0.0
PancDau_0,0.0
MelAnyC_0,0.0
MelSon_0,0.0
MelDau_0,0.0
LeukAnyC_0,0.0
LeukSon_0,0.0
LeukDau_0,0.0
SarcAnyC_0,0.0
SarcSon_0,0.0
SarcDau_0,0.0
OCx1CAny_0,0.0
OCx1Son_0,0.0
OCx1Dau_0,0.0
OCx2CAny_0,0.0
OCx2Son_0,0.0
OCx2Dau_0,0.0
fdeg_ca_0,0.0
fdeg_ca_1,0.0
fdeg_br_0,0.0
fdeg_br_1,0.05710723506092038
fdeg_ov_0,0.0
fdeg_ut_0,0.0
fdeg_lung_0,-0.051731281457550314
fdeg_colorect_0,-0.053492223841971796
fdeg_bladder_0,-0.1486890908670857
fdeg_prostate_0,0.0
fdeg_pancreas_0,0.0
fdeg_mela_0,0.0
fdeg_leuk_0,0.0
fdeg_sarc_0,0.0
fdeg_otherca_0,0.0
fdeg_otherca_1,0.0
